date,time,tec
01-01-2001,01:00:00,9
01-01-2001,03:00:00,28.3
01-01-2001,05:00:00,48.6
01-01-2001,07:00:00,68.9
01-01-2001,09:00:00,87.5
01-01-2001,11:00:00,84.8
01-01-2001,13:00:00,68.8
01-01-2001,15:00:00,47.3
01-01-2001,17:00:00,34
01-01-2001,19:00:00,21.7
01-01-2001,21:00:00,17.4
01-01-2001,23:00:00,13.4
02-01-2001,01:00:00,9.4
02-01-2001,03:00:00,25.7
02-01-2001,05:00:00,43.6
02-01-2001,07:00:00,63.3
02-01-2001,09:00:00,87.6
02-01-2001,11:00:00,79.4
02-01-2001,13:00:00,65.3
02-01-2001,15:00:00,49.8
02-01-2001,17:00:00,34.9
02-01-2001,19:00:00,22.6
02-01-2001,21:00:00,17.3
02-01-2001,23:00:00,11.7
03-01-2001,01:00:00,10.4
03-01-2001,03:00:00,28
03-01-2001,05:00:00,43.7
03-01-2001,07:00:00,62.2
03-01-2001,09:00:00,78
03-01-2001,11:00:00,80.2
03-01-2001,13:00:00,69
03-01-2001,15:00:00,58.6
03-01-2001,17:00:00,41.4
03-01-2001,19:00:00,27.8
03-01-2001,21:00:00,21.1
03-01-2001,23:00:00,14.4
04-01-2001,01:00:00,10.3
04-01-2001,03:00:00,27.3
04-01-2001,05:00:00,41.9
04-01-2001,07:00:00,56.4
04-01-2001,09:00:00,74.4
04-01-2001,11:00:00,78
04-01-2001,13:00:00,67.9
04-01-2001,15:00:00,54.9
04-01-2001,17:00:00,37.6
04-01-2001,19:00:00,29
04-01-2001,21:00:00,21.1
04-01-2001,23:00:00,13.6
05-01-2001,01:00:00,13
05-01-2001,03:00:00,31.4
05-01-2001,05:00:00,50
05-01-2001,07:00:00,63.6
05-01-2001,09:00:00,78
05-01-2001,11:00:00,77.6
05-01-2001,13:00:00,66.4
05-01-2001,15:00:00,53.9
05-01-2001,17:00:00,37.8
05-01-2001,19:00:00,26.9
05-01-2001,21:00:00,21.8
05-01-2001,23:00:00,13.3
06-01-2001,01:00:00,12
06-01-2001,03:00:00,30.9
06-01-2001,05:00:00,50.9
06-01-2001,07:00:00,65.3
06-01-2001,09:00:00,77.9
06-01-2001,11:00:00,78.3
06-01-2001,13:00:00,70.5
06-01-2001,15:00:00,54
06-01-2001,17:00:00,42.3
06-01-2001,19:00:00,29.6
06-01-2001,21:00:00,20.6
06-01-2001,23:00:00,12.5
07-01-2001,01:00:00,9.6
07-01-2001,03:00:00,31.2
07-01-2001,05:00:00,51.8
07-01-2001,07:00:00,64
07-01-2001,09:00:00,76.8
07-01-2001,11:00:00,73.6
07-01-2001,13:00:00,64.1
07-01-2001,15:00:00,52.7
07-01-2001,17:00:00,38.9
07-01-2001,19:00:00,25.9
07-01-2001,21:00:00,17.9
07-01-2001,23:00:00,11.6
08-01-2001,01:00:00,9.6
08-01-2001,03:00:00,29.6
08-01-2001,05:00:00,51.8
08-01-2001,07:00:00,60.7
08-01-2001,09:00:00,71.2
08-01-2001,11:00:00,71.4
08-01-2001,13:00:00,66
08-01-2001,15:00:00,54.6
08-01-2001,17:00:00,37.9
08-01-2001,19:00:00,22.8
