date,time,tec
15-Sep-11,00:00:00,11.68564
15-Sep-11,02:00:00,10.52969386
15-Sep-11,04:00:00,16.69082771
15-Sep-11,06:00:00,24.45282771
15-Sep-11,08:00:00,30.62526771
15-Sep-11,10:00:00,29.82102614
15-Sep-11,12:00:00,27.10293229
15-Sep-11,14:00:00,25.51482614
15-Sep-11,16:00:00,23.053
15-Sep-11,18:00:00,18.14637229
15-Sep-11,20:00:00,14.84890771
15-Sep-11,22:00:00,13.53890614
16-Sep-11,00:00:00,12.61921386
16-Sep-11,02:00:00,11.52596
16-Sep-11,04:00:00,18.88462771
16-Sep-11,06:00:00,27.06646614
16-Sep-11,08:00:00,32.05746771
16-Sep-11,10:00:00,31.57294614
16-Sep-11,12:00:00,29.36971843
16-Sep-11,14:00:00,26.10525229
16-Sep-11,16:00:00,22.39088157
16-Sep-11,18:00:00,17.70978614
16-Sep-11,20:00:00,14.92969386
16-Sep-11,22:00:00,13.09169386
17-Sep-11,00:00:00,12.91744
17-Sep-11,02:00:00,12.3066
17-Sep-11,04:00:00,19.29546771
17-Sep-11,06:00:00,28.05105386
17-Sep-11,08:00:00,35.51004157
17-Sep-11,10:00:00,38.40384
17-Sep-11,12:00:00,42.83552
17-Sep-11,14:00:00,44.51938458
17-Sep-11,16:00:00,26.04524915
17-Sep-11,18:00:00,18.93745229
17-Sep-11,20:00:00,17.55166614
17-Sep-11,22:00:00,17.90978614
18-Sep-11,00:00:00,15.10141229
18-Sep-11,02:00:00,11.99648
18-Sep-11,04:00:00,18.47864157
18-Sep-11,06:00:00,24.43669386
18-Sep-11,08:00:00,28.61678771
18-Sep-11,10:00:00,32.31185386
18-Sep-11,12:00:00,31.31968
18-Sep-11,14:00:00,29.68251843
18-Sep-11,16:00:00,21.71957229
18-Sep-11,18:00:00,16.21957386
18-Sep-11,20:00:00,14.78494771
18-Sep-11,22:00:00,14.10253386
19-Sep-11,00:00:00,12.77657386
19-Sep-11,02:00:00,11.50696
19-Sep-11,04:00:00,19.42494771
19-Sep-11,06:00:00,29.71889386
19-Sep-11,08:00:00,34.68912
19-Sep-11,10:00:00,34.30622771
19-Sep-11,12:00:00,32.41736
19-Sep-11,14:00:00,29.05409229
19-Sep-11,16:00:00,22.43273229
19-Sep-11,18:00:00,16.05166614
19-Sep-11,20:00:00,13.33378771
19-Sep-11,22:00:00,11.79006614
20-Sep-11,00:00:00,11.48796
20-Sep-11,02:00:00,10.89844
20-Sep-11,04:00:00,18.99510771
20-Sep-11,06:00:00,30.46132
20-Sep-11,08:00:00,37.79296157
20-Sep-11,10:00:00,37.56710771
20-Sep-11,12:00:00,35.32018771
20-Sep-11,14:00:00,34.41073072
20-Sep-11,16:00:00,27.42047843
20-Sep-11,18:00:00,17.8492
20-Sep-11,20:00:00,15.96874614
20-Sep-11,22:00:00,14.66805386
21-Sep-11,00:00:00,14.74053386
21-Sep-11,02:00:00,13.4748
21-Sep-11,04:00:00,21.58216157
21-Sep-11,06:00:00,30.06794771
21-Sep-11,08:00:00,36.4244
21-Sep-11,10:00:00,34.43277386
21-Sep-11,12:00:00,32.52798614
21-Sep-11,14:00:00,33.66682458
21-Sep-11,16:00:00,28.99219686
21-Sep-11,18:00:00,18.23266614
21-Sep-11,20:00:00,14.85293386
21-Sep-11,22:00:00,14.57494614
22-Sep-11,00:00:00,14.02610614
22-Sep-11,02:00:00,12.74905386
22-Sep-11,04:00:00,20.92016157
22-Sep-11,06:00:00,32.04021386
22-Sep-11,08:00:00,37.38853542
22-Sep-11,10:00:00,36.37550928
22-Sep-11,12:00:00,34.76514614
22-Sep-11,14:00:00,32.24803843
22-Sep-11,16:00:00,25.35898458
22-Sep-11,18:00:00,16.50746614
22-Sep-11,20:00:00,14.15384
22-Sep-11,22:00:00,14.07726614
23-Sep-11,00:00:00,13.20268
23-Sep-11,02:00:00,11.83005386
23-Sep-11,04:00:00,19.13542771
23-Sep-11,06:00:00,27.60236
23-Sep-11,08:00:00,33.47872
23-Sep-11,10:00:00,34.43820157
23-Sep-11,12:00:00,34.16626771
23-Sep-11,14:00:00,32.45322458
23-Sep-11,16:00:00,24.87123843
23-Sep-11,18:00:00,15.26678614
23-Sep-11,20:00:00,12.48528
23-Sep-11,22:00:00,11.57922614
24-Sep-11,00:00:00,11.39612
24-Sep-11,02:00:00,10.76628
24-Sep-11,04:00:00,19.81374771
24-Sep-11,06:00:00,27.54776
24-Sep-11,08:00:00,36.93241386
24-Sep-11,10:00:00,37.11525386
24-Sep-11,12:00:00,33.65425542
24-Sep-11,14:00:00,31.53578458
24-Sep-11,16:00:00,25.18490614
24-Sep-11,18:00:00,16.36004
24-Sep-11,20:00:00,13.39844
24-Sep-11,22:00:00,12.09844
25-Sep-11,00:00:00,12.46417386
25-Sep-11,02:00:00,11.84728
25-Sep-11,04:00:00,21.77770771
25-Sep-11,06:00:00,31.01346458
25-Sep-11,08:00:00,34.41552
25-Sep-11,10:00:00,37.19249229
25-Sep-11,12:00:00,37.05509542
25-Sep-11,14:00:00,36.38814301
25-Sep-11,16:00:00,27.35985229
25-Sep-11,18:00:00,17.74104
25-Sep-11,20:00:00,15.96486614
25-Sep-11,22:00:00,14.8306
26-Sep-11,00:00:00,14.11533386
26-Sep-11,02:00:00,13.22828
26-Sep-11,04:00:00,21.21396157
26-Sep-11,06:00:00,29.01530614
26-Sep-11,08:00:00,36.12262614
26-Sep-11,10:00:00,40.81185229
26-Sep-11,12:00:00,38.22652157
26-Sep-11,14:00:00,33.76192
26-Sep-11,16:00:00,29.82435843
26-Sep-11,18:00:00,20.69328157
26-Sep-11,20:00:00,16.67482771
26-Sep-11,22:00:00,14.86664
27-Sep-11,00:00:00,11.00090614
27-Sep-11,02:00:00,8.478533856
27-Sep-11,04:00:00,17.17153542
27-Sep-11,06:00:00,23.23534771
27-Sep-11,08:00:00,25.78593229
27-Sep-11,10:00:00,26.74807843
27-Sep-11,12:00:00,25.45674458
27-Sep-11,14:00:00,23.39350614
27-Sep-11,16:00:00,17.03658458
27-Sep-11,18:00:00,12.83821386
27-Sep-11,20:00:00,12.61744
27-Sep-11,22:00:00,11.36326771
28-Sep-11,00:00:00,11.15101386
28-Sep-11,02:00:00,11.37233386
28-Sep-11,04:00:00,17.42889542
28-Sep-11,06:00:00,25.76566614
28-Sep-11,08:00:00,32.08078614
28-Sep-11,10:00:00,30.99818614
28-Sep-11,12:00:00,26.60333229
28-Sep-11,14:00:00,23.81051843
28-Sep-11,16:00:00,19.28042458
28-Sep-11,18:00:00,14.22132
28-Sep-11,20:00:00,13.66164
28-Sep-11,22:00:00,12.82737386
29-Sep-11,00:00:00,12.7748
29-Sep-11,02:00:00,11.14053386
29-Sep-11,04:00:00,17.69300157
29-Sep-11,06:00:00,28.39351843
29-Sep-11,08:00:00,27.39869386
29-Sep-11,10:00:00,33.51472
29-Sep-11,12:00:00,30.42606458
29-Sep-11,14:00:00,26.00518458
29-Sep-11,16:00:00,17.40155843
29-Sep-11,18:00:00,11.3
29-Sep-11,20:00:00,11.78705386
29-Sep-11,22:00:00,10.97248
30-Sep-11,00:00:00,10.41069386
30-Sep-11,02:00:00,9.951373856
30-Sep-11,04:00:00,17.46084157
30-Sep-11,06:00:00,23.71904
30-Sep-11,08:00:00,29.75590771
30-Sep-11,10:00:00,31.31156
30-Sep-11,12:00:00,26.72515843
30-Sep-11,14:00:00,26.96450458
30-Sep-11,16:00:00,17.80921072
30-Sep-11,18:00:00,10.95438614
30-Sep-11,20:00:00,12.05565386
30-Sep-11,22:00:00,10.49844
01-Oct-11,00:00:00,9.815333856
01-Oct-11,02:00:00,9.664173856
01-Oct-11,04:00:00,17.51642771
01-Oct-11,06:00:00,25.27694614
01-Oct-11,08:00:00,36.66334614
01-Oct-11,10:00:00,40.17596
01-Oct-11,12:00:00,35.85822614
01-Oct-11,14:00:00,32.44753072
01-Oct-11,16:00:00,19.99078458
01-Oct-11,18:00:00,13.52237229
01-Oct-11,20:00:00,12.43890614
