date,time,tec
01-Sep-2011,00:00:00,9.300213856
01-Sep-2011,02:00:00,8.795906144
01-Sep-2011,04:00:00,16.02897386
01-Sep-2011,06:00:00,23.43538771
01-Sep-2011,08:00:00,30.13222771
01-Sep-2011,10:00:00,29.41413386
01-Sep-2011,12:00:00,23.5914
01-Sep-2011,14:00:00,19.23926614
01-Sep-2011,16:00:00,19.60057386
01-Sep-2011,18:00:00,16.26714614
01-Sep-2011,20:00:00,11.21936
01-Sep-2011,22:00:00,10.82610614
02-Sep-2011,00:00:00,10.27425386
02-Sep-2011,02:00:00,9.64032
02-Sep-2011,04:00:00,17.62524
02-Sep-2011,06:00:00,26.21454614
02-Sep-2011,08:00:00,28.22668157
02-Sep-2011,10:00:00,28.51004
02-Sep-2011,12:00:00,25.42672
02-Sep-2011,14:00:00,25.27113386
02-Sep-2011,16:00:00,23.91497229
02-Sep-2011,18:00:00,16.40677386
02-Sep-2011,20:00:00,13.38121386
02-Sep-2011,22:00:00,13.25812
03-Sep-2011,00:00:00,12.06874614
03-Sep-2011,02:00:00,11.1066
03-Sep-2011,04:00:00,18.4082
03-Sep-2011,06:00:00,30.12578614
03-Sep-2011,08:00:00,33.40789542
03-Sep-2011,10:00:00,32.33248
03-Sep-2011,12:00:00,30.66442614
03-Sep-2011,14:00:00,30.76493229
03-Sep-2011,16:00:00,23.81645229
03-Sep-2011,18:00:00,18.19289229
03-Sep-2011,20:00:00,14.76522614
03-Sep-2011,22:00:00,14.56649386
04-Sep-2011,00:00:00,12.30464
04-Sep-2011,02:00:00,10.76628
04-Sep-2011,04:00:00,16.50410614
04-Sep-2011,06:00:00,22.58688
04-Sep-2011,08:00:00,24.75333386
04-Sep-2011,10:00:00,28.60028157
04-Sep-2011,12:00:00,27.9484
04-Sep-2011,14:00:00,25.19528
04-Sep-2011,16:00:00,23.53378614
04-Sep-2011,18:00:00,20.61899843
04-Sep-2011,20:00:00,15.96384157
04-Sep-2011,22:00:00,14.8368
05-Sep-2011,00:00:00,13.38332
05-Sep-2011,02:00:00,11.60674614
05-Sep-2011,04:00:00,16.65261386
05-Sep-2011,06:00:00,21.91672
05-Sep-2011,08:00:00,25.33806771
05-Sep-2011,10:00:00,27.11250614
05-Sep-2011,12:00:00,26.43538614
05-Sep-2011,14:00:00,24.69281386
05-Sep-2011,16:00:00,22.11159843
05-Sep-2011,18:00:00,17.95489229
05-Sep-2011,20:00:00,15.30126614
05-Sep-2011,22:00:00,15.12095843
06-Sep-2011,00:00:00,13.94996
06-Sep-2011,02:00:00,10.59238614
06-Sep-2011,04:00:00,16.13231843
06-Sep-2011,06:00:00,23.89874458
06-Sep-2011,08:00:00,25.45794614
06-Sep-2011,10:00:00,24.68850614
06-Sep-2011,12:00:00,23.58654614
06-Sep-2011,14:00:00,21.03785229
06-Sep-2011,16:00:00,20.85046614
06-Sep-2011,18:00:00,17.59093229
06-Sep-2011,20:00:00,14.37073386
06-Sep-2011,22:00:00,14.03074614
07-Sep-2011,00:00:00,13.14053386
07-Sep-2011,02:00:00,11.10464
07-Sep-2011,04:00:00,17.67034614
07-Sep-2011,06:00:00,22.72096
07-Sep-2011,08:00:00,22.95086771
07-Sep-2011,10:00:00,24.99281386
07-Sep-2011,12:00:00,25.19118614
07-Sep-2011,14:00:00,24.0356
07-Sep-2011,16:00:00,22.66649229
07-Sep-2011,18:00:00,16.97530614
07-Sep-2011,20:00:00,12.72773386
07-Sep-2011,22:00:00,12.8178
08-Sep-2011,00:00:00,11.60464
08-Sep-2011,02:00:00,10.70906614
08-Sep-2011,04:00:00,18.20982771
08-Sep-2011,06:00:00,24.15569386
08-Sep-2011,08:00:00,26.36472
08-Sep-2011,10:00:00,24.85909386
08-Sep-2011,12:00:00,21.94854614
08-Sep-2011,14:00:00,21.00105229
08-Sep-2011,16:00:00,21.56504
08-Sep-2011,18:00:00,17.50993229
08-Sep-2011,20:00:00,12.44068
08-Sep-2011,22:00:00,11.16874614
09-Sep-2011,00:00:00,10.27853386
09-Sep-2011,02:00:00,9.706746144
09-Sep-2011,04:00:00,16.69702771
09-Sep-2011,06:00:00,22.91298614
09-Sep-2011,08:00:00,25.43608
09-Sep-2011,10:00:00,27.02461386
09-Sep-2011,12:00:00,25.75108
09-Sep-2011,14:00:00,22.70434614
09-Sep-2011,16:00:00,22.0972
09-Sep-2011,18:00:00,17.34477229
09-Sep-2011,20:00:00,14.19698614
09-Sep-2011,22:00:00,12.65115843
10-Sep-2011,00:00:00,9.5922
10-Sep-2011,02:00:00,8.229693856
10-Sep-2011,04:00:00,15.15888157
10-Sep-2011,06:00:00,19.40489386
10-Sep-2011,08:00:00,22.22410771
10-Sep-2011,10:00:00,24.21359843
10-Sep-2011,12:00:00,23.26584
10-Sep-2011,14:00:00,19.2612
10-Sep-2011,16:00:00,17.93650614
10-Sep-2011,18:00:00,15.09738614
10-Sep-2011,20:00:00,13.10308
10-Sep-2011,22:00:00,12.55902614
11-Sep-2011,00:00:00,10.78245229
11-Sep-2011,02:00:00,9.87056
11-Sep-2011,04:00:00,15.44689229
11-Sep-2011,06:00:00,22.88441386
11-Sep-2011,08:00:00,28.24464
